NO,JUDUL,NOMOR KATALOG,NOMOR KLASIFIKASI,ISBN/ISSN,NOMOR PANGGIL SETEMPAT,BAHASA,PENGARANG,PENERJEMAH,EDITOR,SERI,EDISI,NEGARA,PROVINSI,KOTA,PENERBIT,TAHUN,SUBJEK,NAMA PERTEMUAN,TEMPAT PERTEMUAN,TANGGAL PERTEMUAN,HARGA,JENIS
2034,Kembali Membangun Tanah Air: Studi Jaringan Profesional Perencana Kota di Belanda,4599333123,710,978-623-321-026-3,710 Kem,Indonesia,,,Ayu N. Lissandhi & Meilinda S. Yayusman,,,Indonesia,DKI Jakarta,Jakarta,Yayasan Obor Indonesia,2020,Civic & Landscape Art,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2035,Kembang Setaman Tindak Pidana Korupsi Indonesia Dalam Teori ,4943312122,345,978-623-384-222-8,345 Mul K,Indonesia,"Dr. Lilik Mulyadi, S.H., M.H.",,,,1,Indonesia,DKI Jakarta,Jakarta,PRENADAMEDIA GROUP,2022,Criminal Law,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
2036,Kemiskinan dan Polarisasi Sosial,9379344126,305.56,979-8034-85-6,305.56 Ama K,Indonesia,Moh. Amaluddin,,,2,1,Indonesia,DKI Jakarta,Jakarta,UI Press,1987,Lower Class,Surat Permohonan buku dan koleksi,,26 Oktober 2022,0,sosiologi
2037,Kenangan Inspiratif Orde Lama dan Orde Baru,4098329122,959.803,978-602-255-433-2,959.803 San K,Indonesia,M. Sanusi,,Ishana Hanifah,,,Indonesia,DI Yogyakarta,Yogyakarta,Saufa,2014,Period of Republic,Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Sejarah
2038,Kenangan-Kenanganku di Malaya,6613333124,910,978-623-458-018-1,910 Ham K,Indonesia,Hamka,,Kartina Rosa,,,Indonesia,Jawa Barat,Depok,Gema Insan,2022,Geography & Travel,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2039,"Kenangan Peralihan Masa Prof. Sutan Muhammad Zain (Sungai Pasak, 1886 - Tokyo 1962)",3867321122,928.1,978-602-8556-74-3,928.1 Ken,Indonesia,,,Linda Djalil,,,Indonesia,DKI Jakarta,Depok,KAKILANGIT KENCANA,2017,Indonesian Literature Biography ,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Biografi
2040,"Kenapa ""Percaya"" Saya buat Ahok?",4619333123,302.5,,302.5 Ham K,Indonesia,Nini Hamid,,,,,Indonesia,DKI Jakarta,Jakarta,,2016,Relations of Individual to Society,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2041,Ken Arok (Keistimewaan dan Kontroversi Anak Buangan yang Menjadi Raja di Tanah Jawa),1723333122,398.2,978623-7910-65-7,398.2 Sya K,Indonesia,M.Syamsudin,,Adi Putra,,1,Indonesia,DI Yogyakarta,Yogyakarta,Araska,2021,"Folk Literature, Fairy Tales",Surat Permohonan Buku & Koleksi ,,22 Agustus 2022,0,Buku Baca
2042,Kencan Dengan Karma: Anti-Memoirs ,9001329124,361.1,978-602-06-2896-7,361.1 Wib K,Indonesia, Christianto Wibisono,,,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2019,Social Problems,Surat Permohohan Buku dan Koleksi,,26 Oktober 2022,0,Sejarah
2043,Kencan Dinasti Menteng,9792318124,306.2,,306.2 Wib K,Indonesia,Christian Wibisono,,Thomas Wibisono,,,Indonesia,DKI Jakarta,Jakarta Pusat,PT. Pusat Data Bisnis Indonesia,2020,Political Institutions,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Budaya
2044,KENOSIS Jurnal Kajian Teologi Vol. 7 No. 1,810236124,230.005,2460-6901,230.005 Ken,Indonesia,"Weldemina Yudit Tiwery, D. Th., M. Hum.",,,,,Indonesia,Maluku,Ambon,Fakultas Ilmu Sosial Keagamaan Program Studi Teologi IAKN Ambon,2021,Serial Publications of Christianity,Surat Permohonan Buku dan Koleksi,,,0,Karya Ilmiah
2045,Kepada Betah yang Pernah Ruah,6274337124,811,978-602-208-190-6,811 Din K,Indonesia,Lovi Dinar,,,,,Indonesia,DI Yogyakarta,Yogyakarta,Gradien Mediatama,2020,Indonesian Poetry,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Kumpulan Sastra
2046,Kepariwisataan NTT Menuju Kelas dunia,3559333122,910.2,978-623-241-657-4,910.2 Nir K,Indonesia,Sapta Nirwandar,,,,,Indonesia,DKI Jakarta,Jakarta,PT Kompas Media Nusantara,2020,Miscellany of Travel,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Baca
2047,"Kepemimpinan Efektif : Teori, Penelitian & Praktik",9816315122,303.34,978-602-444-734-2,303.34/Usm/K,Indonesia,"Prof. Dr. Husaini Usman, M.Pd., M.T.",,Bunga Sari Fatmawati,,,Indonesia,DKI Jakarta,Jakarta Timur,Bumi Aksara,2020,Leadership,,,26 Oktober 2022,0,Buku Ajar / Buku Ilmiah
2048,Kepemimpinan Kepala Sekolah,7083333124,371.2012,979-421-670-4,371.2012 Wah K,Indonesia,Wahjosumidjo,,,,1,Indonesia,DKI Jakarta,Jakarta,PT. Rajagrafindo Persada,1999,Principals,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Buku Baca
2049,KEPEMIMPINAN NUSANTARA Archipelago Leadership,8797315124,303.39,978-602-5808-30-2,303.39,Indonesia,Prof. Dr. Marsetio,,"Dr. Rajab Ritonga, M.Si",,,Indonesia,Jawa Barat,Bogor,Universitas Pertahanan Indonesia,2019,Leadership,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Ajar / Buku Ilmiah
2050,Kepemimpinan Pemerintahan di Indonesia,7810328124,351,979-526-097-9,351 Pam K,Indonesia,"Prof. Drs. S. Pamudji, MPA.",,,,,Indonesia,DKI Jakarta,Jakarta,Bumi Aksara,1995,Public Administration,Surat Permohonan Buku dan Koleksi,,,0,Politik
2051,"Kepemimpinan Teori, Empiris dan Riset",528312122,158.4,978-979-3100-47-0,158.4 Sud K,Indonesia,"Dr. Ir. H. Sudiyarto, MM",,Selamet Raharjo,,,Indonesia,Jawa Timur,Surabaya,UPN Press,2008,Leadership,Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Belajar
2052,Keragaman Majelis di Kalangan Umat Buddha Indonesia,5071333124,1.4,,001.4 Ker,Indonesia,,,Nuhrison M. Nuh,,1,Indonesia,DKI Jakarta,Jakarta,Departemen Agama Pusat Jakarta,2016,Research,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2053,KERAJAAN TRADISIONAL DI INDONESIA : BIMA,7993318124,959.8,,959.8 Har K,Indonesia,Tawalinuddin Haris,,Tawalinuddin Haris,,,Indonesia,DKI Jakarta,Jakarta,Proyek Inventarisasi dan Dokumentasi Sejarah Nasional Direktorat Jenderal Kebudayaan Departemen Pendidikan dan Kebudayaan ,1997,Indonesia and East Timur,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Budaya
2054,Kerajinan Kaca Patri untuk Pemula,7259312124,730,979-3567-48-1,730 Sie K,Indonesia,Harry Sienaya,,Tety Rohmawati,,,Indonesia,DKI Jakarta,Jakarta,Puspa Swara,2004,Sculpture,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Buku Belajar
2055,KERAJINAN TI`I LANGGA DI KABUPATEN ROTE NDAO NUSA TENGGARA TIMUR,9356318126,745.5,978-602-356-360-9,745.5 Sat K ,Indonesia,I Made Satyananda,,,,1,Indonesia,Bali,bali,Kepel Press,2020,Wood Handicrafts,Surat Permohonan buku dan koleksi,,28-Nov-22,0,Budaya
2056,KERAJINAN TRADISIONAL ATA DI KARANGASEM PROVINSI BALI,8945318125,745.5,978-602-356-358-6,745.5 Sum K,Indonesia,I Made Sumarja,,Safitriyani,,1,Indonesia,Bali,Badung,Kepel Press,2020,Handicrafts,Surat Permohonan Buku & Koleksi,,28-Nov-22,0,Budaya
2057,KERIS ,8205318124,133.44,979-501-229-0,133.44 DOY K,Indonesia,"Ki KRHT Hudoyo Doyodipuro, Occ.",,,,,Indonesia,Jawa Tengah,Semarang,DAHARA PRIZE,2016,"Curses, Amulets",Surat Permohonan Buku & Koleksi,,11 Oktober 2022,0,Budaya
2058,Keris Naga,9568333124,739,978-602-19707-0-6,739 Art Metalwork,Indonesia,basuki teguh yuwono,,,,,Indonesia,DKI Jakarta,Jakarta,kementrian parawisata dan ekonomi kreatif ,2011,,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
2059,KERIUHAN KOMUNIKASI,9813333124,"303, 253",978-602-433-901-2,"303, 253/Wah/K",Indonesia,Hermin Indah Wahyuni,,,,,Indonesia,DKI Jakarta,Jakarta,Yayasan Pustaka Obor Indonesia,2020,Development because of science,,,26 Oktober 2022,70000,Buku Baca
2060,KESALAHAN - KESALAHAN INVESTOR SAHAM PEMULA,5629312124,332.6,978-623-00-3178-6,332.6 Bud K,Indonesia,Raymond Budiman,,,,,Indonesia,DKI Jakarta,Jakarta Pusat,PT Elex Media Komputindo,2022,Investment,Surat Permohonan Buku & Koleksi ,,26 Oktober 2022,0,Buku Belajar
2061,Kesatuan Kreatif,5544331124,808.84,978-602-5792-34-2,808.84 TAG K,Indonesia,Rabindranath Tagore,Hartono Hadikusumo,Imm Risdiyanto,,,Indonesia,DI Yogyakarta,Yogyakarta,NARASI,2020,Essay Literature,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Pengetahuan Umum
2062,Kesehatan Ibu & Anak Orang Asli Papua: Antara Ketersediaan Layanan dan Tantangan Sosial Budaya,8994333224,618.2,978-602-433-882-4,618.2 WID K,Indonesia,Widayatun,,,,,Indonesia,DKI Jakarta,Jakarta,Yayasan Pustaka Obor Indonesia,2019,"Obstetrik, Midwifery",Surat permohonan buku & koleksi,,26 Oktober 2022,0,Buku Baca
2063,"KESEHATAN JIWA DALAM KELUARGA, SEKOLAH, DAN MASYARAKAT",8760340125,150,,150 Mus k,Indonesia,Prof. Dr. Musthafa Fahmi,Dr. Zakiah Daradjat,,,,Indonesia,DKI Jakarta,Jakarta,Bulan Bintang,1977,Psychology,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Psikologi
2064,Kesehatan Masyarakat Perkotaan,6215333122,613.5,978-623-372-601-6,613.5 Ach K,Indonesia,"Prof. dr. Umar Fahmi Achmadi, M.P.H., Ph.D",,Yayat Sri Hayati,,1,Indonesia,Jawa Barat,Depok,Rajawali Pers,2022,Artificial Environtment,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2065,Kesehatan Reproduksi Bagi Pengungsi; Referensi Bagi Pengelola Program,8803324122,612.6,-,612.6 Pen K,Indonesia,"Prof. DR. dr. Azrul Anwar, MPH",,,,,Indonesia,DKI Jakarta,Jakarta,Departemen Kesehatan Republik Indonesia,2003,Reproduction System,Surat Permohonan Buku dan Koleksi,,,0,Panduan (How To)
2066,Kesehatan Reproduksi Remaja: Teori & Program Pelayanan di Indonesia,4940333124,613.9,978-623-372-312-1,613.9 Pra K,Indonesia,"Prof. dr. Hadi Pratomo, M.P.H., Dr.Ph.",,"Prof. dr. Hadi Pratomo, M.P.H., Dr.Ph.",,,Indonesia,Jawa Barat,Depok,Rajawali Pers,2022,Birth Control and Sex Hygiene,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2067,Kesenian Cupak Gurantang Di Lombok Nusa Tenggara Barat,902636124,700.7,978-602-356-257-2,700.7 Gus K,Indonesia,I Gusti Ayu Armini,,,,,Indonesia,Bali,Badung,Kepel Press,2019,Research of Arts,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Karya Ilmiah
2068,Kesiapan Bersekolah Siswa Kelas I Sekolah Dasar yang Melalui Taman Kanak-Kanak dan yang Tidak Melalui Taman Kanak-Kanak,7013315124,372.07,979-401-456-7,372.07 Har K,Indonesia,"Dra. Diah Harianti, M.Psi",,,,,Indonesia,DKI Jakarta,Jakarta,Badan Penelitian dan Pengembangan,2002,Education of Primary Education ,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Buku Ajar / Buku Ilmiah
2069,Kesiapsiagaan Masyarakat Dalam Mengantisipasi Bencana Alam di Kota Padang Pariaman ,7392315124,363.3495,9.79E+12,363.3495 Nag K,Indonesia,Laila Nagib ,,,,,Indonesia,DKI Jakarta,Jakarta,LIPI Press,2008,,Surat Permohonan Buku dan Koleksi,Surat Permohonan Buku dan Koleksi ,26 Oktober 2022,0,Buku Ajar / Buku Ilmiah
2070,Ketahanan Budaya Indonesia 2018 - 2030: Ancaman dan Rekomendasi,5337333124,306.4,-,306.4 Das K,Indonesia,Tim Dewan Analis Strategis - Badan Intelijen Negara (DAS-BIN),,,,,Indonesia,DKI Jakarta,Jakarta,Dewan Analis Strategi - Badan Intelijen Negara R.I.,2017,Spesific Aspect of Culture,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2071,Ketahanan Ekonomi Indonesia 2018 -2030: Reorientasi Transformasi Struktural,5354333124,330.9598,-,330.9598 Das K,Indonesia,Tim Dewan Analis Strategis - Badan Intelijen Negara (DAS-BIN),,,,,Indonesia,DKI Jakarta,Jakarta,Dewan Analis Strategi - Badan Intelijen Negara R.I.,2017,Economic Situation & Condition in Indonesia,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2072,Ketahanan Ideologi Pancasila 2018-2030: Diantara Ideologi Transnasional,5325333124,320.509 598,-,320.509 598 Das K,Indonesia,Tim Dewan Analis Strategis - Badan Intelijen Negara (DAS-BIN),,,,,Indonesia,DKI Jakarta,Jakarta,Dewan Analis Strategi - Badan Intelijen Negara R.I.,2017,Political Ideologies in Indonesia,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2073,"Ketahanan Industri Indonesia 2018 - 2030: Konfigurasi, Polarisasi, Konfrontasi",5351333124,338,-,338 Das K,Indonesia,Tim Dewan Analis Strategis - Badan Intelijen Negara (DAS-BIN),,,,,Indonesia,DKI Jakarta,Jakarta,Dewan Analis Strategi - Badan Intelijen Negara R.I.,2017,Productions,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2074,Ketahanan Nasional,1406331122,355.4,979-407-893-X,355.4 Ket,Indonesia,,,,,,Indonesia,Jawa Timur,Surabaya,Lembaga Ketahanan Nasional,1995,Military Operations,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Pengetahuan Umum
2075,"Ketahanan Nasional: Teori, Adaptasi, dan Strategi",5210333124,355,978-979-456-917-7,355 Han K,Indonesia,Margaretha Hanita,,,,,Indonesia,Jawa Barat,Depok,UI Publishing,2020,Military Science,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2076,Ketahanan Pangan Indonesia 2018-2030: Ancaman dan Rekomendasi,5319333124,363.8,-,363.8 Das K,Indonesia,Tim Dewan Analis Strategis - Badan Intelijen Negara (DAS-BIN),,,,,Indonesia,DKI Jakarta,Jakarta,Dewan Analis Strategi - Badan Intelijen Negara R.I.,2020,Food Supply,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2077,Ketahanan Sosial Indonesia 2018 - 2030: Post-Truth Society,5328333124,302.5,-,302.5 Das K,Indonesia,Tim Dewan Analis Strategis - Badan Intelijen Negara (DAS-BIN),,,,,Indonesia,DKI Jakarta,Jakarta,Dewan Analis Strategi - Badan Intelijen Negara R.I.,2017,Relations of Individual to Society,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2078,Ketahanan Sumber Daya Alam Indonesia 2018-2030,5316333124,333.7,-,333.7 Das K,Indonesia,Tim Dewan Analis Strategis - Badan Intelijen Negara (DAS-BIN),,,,,Indonesia,DKI Jakarta,Jakarta,Dewan Analis Strategi - Badan Intelijen Negara R.I.,2017,Natural Resources and Energy,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2079,KETAHANAN TANAMAN TERHADAP HAMA,256836122,632.3,978-979-3100-53-1,632.3 Sod K,Indonesia,Moch. Sodiq,,,,,Indonesia,Jawa Timur,Surabaya,UPN Press,2009,Plant Diseases,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Karya Ilmiah
2080,Keteladanan Bung Hatta,4378321123,923.1,978-623-241-176-0,923.1 Pan K,Indonesia,M. Sayuti Dt. Rajo Pangulu,,Irwan Suhada,,,Indonesia,DKI Jakarta,Jakarta,Buku Kompas,2020,Heads of State Biography,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Biografi
2081,Keterampilan Berbicara,10000345126,401.452,978-623-231-242-5,401.452 Sus K,Indonesia,"Dr. Elvi Susanti, M.Pd.",,Monalisa,1,,Indonesia,Jawa Barat,Depok,PT RAJAGRAFINDO PERSADA,2020,Speech Acts,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Komunikasi
2082,Ketetapan Majelis Permusyawaratan Rakyat Republik Indonesia Nomor I/MPR/2003,1353328122,348.598,,348.598 MPR K,Indonesia,MPR,,,,,Indonesia,DKI Jakarta,Jakarta Pusat,Sekretariat Jenderal MPR RI,2021,Law of Indonesia,Surat Permohonan Buku & Koleksi ,,22 Agustus 2022,0,Politik
2083,Ketetapan MPR RI No. I/MPR/2003 tentang Peninjauan Kembali Materi dan Status Hukum Ketetapan MPR Sementara dan Ketetapan MPR RI Tahun 1960 Sampai dengan Tahun 2002,6903317124,328.598,,328.598 Jen M,Indonesia,,,,,,Indonesia,DKI Jakarta,Jakarta,Sekretariat Jenderal MPR RI,2014,Legislative in Indonesia,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Antologi
2084,Ketika ,7132320124,813,979-3651-93-8,813 Nad K,Indonesia,Asma Nadia,,,,,Indonesia,Jawa Barat,Depok,PT. Lingkar Pena Kreativa ,2007,Indonesian Fiction,Surat Permohonan Buku dan Koleksi ,,26 Oktober 2022,0,Novel
2085,"Ketika Aku Mendadak Konslet : Antara Seni, Kopi, dan Sarinah",9688333124,741.5,978-602-462-742-3,741.5 Nas K,Indonesia,MUHAMMAD NASHIR,,,,,Indonesia,Jawa Timur,Malang,Media Nusa Creative,2021,"Comicbooks, grapic novels, fotonovelas",Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
2086,Ketika Lautan Menjadi Tinta,72335122,297.122 404,978-623-00-1450-5,297.122 404 Ari K,Indonesia,Gus Arifin,,Hediansyah,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2020,Recitation And Reading,Permohonan Buku & Koleksi,,22 Agustus 2022,0,Tafsir Kitab Suci
2087,Ketika Sukses berawal dari Pesantren,4589333123,297.27,,297.27 Zai K,Indonesia,Akbar Zainudin,,Nursodiqoh,,,Indonesia,Jawa Barat,Bekasi,MJW Book,2014,Islam & Social Sciences ,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2088,Ketrampilan Membaca Laut,6246317124,811,978-602-06-3103-5,811 Ach K,Indonesia,Ama Achmad ,,Siska Yuanita,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2018,Indonesian Poetry,surat permohonan buku dan koleksi ,Surat Permohonan & Buku Koleksi,26 Oktober 2022,0,Antologi
2089,Keuangan Negara Suatu Tinjauan Komprehensif dan Terpadu,1103332122,336,978-602-6606-46-4,336 Eff K,Indonesia,H. Effendie,,,,,Indonesia,Jawa Timur,Surabaya,Airlangga University Press,2017,Public Finance,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Ekonomi
2090,Keunikan Sastra Jepang,9178312124,895.6,978-979-593-944-3,895.6 Mor K,Indonesia,"Yasuko Morita, M.A.",,"Adeline Bangun, Yayat Sri Hayati",,,Indonesia,DKI Jakarta,Jakarta Pusat,PT Kesaint Blanc Publishing,2017,Jepanese Literature,,,26 Oktober 2022,0,Buku Belajar
2091,Kewaspadaan Nasional untuk Bali Mandara,5042328124,303.4,978-602-5529-11-5,303.4 Win K,Indonesia,"Mayjen TNI (Purn) Dr. Putu Sastra Wingarta, S.Ip, M.Sc.",,,,,Indonesia,Bali,Denpasar,PT. PERCETAKAN BALI,2017,Social Change,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Politik
2092,Kewiraan untuk Mahasiswa,7928333124,338.04,-,338.04 Kew,Indonesia,,,,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,1980,Entrepreneurship,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
2093,Kewirausahaan,1126312122,338.04,978-979-028-895-9,338.04 Tim Une K,Indonesia,Tim UNESA,,,,,Indonesia,Jawa Timur,Surabaya,Unesa University Press,2016,Entrepreneurship,Surat Permohonan Buku & Koleksi ,,22 Agustus 2022,0,Buku Belajar
2094,Kewirausahaan,1714327122,338.04,978-979-3100-70-8,338.04 Wal K,Indonesia,Minto Waluyo,,,,,Indonesia,Jawa Timur,Surabaya,UPN Press,2009,Enterpreneurship,Permohonan Buku & Koleksi,,22 Agustus 2022,0,Bisnis
2095,Kewirausahaan,1122312122,338.04,978-602-452-401-2,338.04 Her K,Indonesia,"Hery, S.E., M.Si, CRP., RSA., CFRM.",,,,,Indonesia,DKI Jakarta,Jakarta,Grasindo,2017,Entrepreneurship,Permohonan Buku & Koleksi,,22 Agustus 2022,0,Buku Belajar
2096,KEWIRAUSAHAAN Bagi Mahasiswa Jurusan Ilmu Sosial ,8804327124,338.04,978-602-449-480-3,338.8 Uta K,Indonesia,"Diyah Utami, S.Sos., M.M.",,,,,Indonesia,Jawa Timur,Surabaya,Unesa University Press,2020,Entrepreneurship,Surat Permohonan Buku dan Koleksi,,,0,Bisnis
2097,KEWIRAUSAHAAN : Buku Ajar untuk Mahasiswa,8862315124,338.04,,338.04/Her/K,Indonesia,"Alexander Hery, S.E., M.Si.",,"Ratna Juwita Ningsih, Renika Veronika",,,Indonesia,Jawa Barat,Bandung,Yrama Widya,2021,Entrepreneurship,,,26 Oktober 2022,68000,Buku Ajar / Buku Ilmiah
2098,Kewirausahaan (Dalam Ekonomi Global),1713333122,338.04,978-979-028-214-8,338.04 Hud K,Indonesia,"Dr. Syamsul Huda, SE, MT.",,,,,Indonesia,Jawa Timur,Surabaya,Unesa University Press,2010,Enterpreneurship,Surat Permohonan Buku dan Koleksi,,26-Sep-22,0,Buku Baca
2099,Kewirausahaan: Inovasi dan Legalitas Bisnis,4710312123,338.04,978-602-6697-65-3,338.04 Dar K,Indonesia,"Akhmad, Darmawan, S.E., M.Si",,Totok Haryanto,,,Indonesia,Jawa Tengah,Purwokerto,UM Purwokerto Press,2021,Enterpreneurship,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
2100,Kewirausahaan: Teori dan Praktik,4891312124,338.04,978-979-076-396-8,338.04 Rus K,Indonesia,"Dr. H. A. Rusdiana, Drs., M.M.",,,,,Indonesia,Jawa Barat,Bandung,PUSTAKA SETIA,2014,Enterpreneurship,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
2101,Key Concepts in the Practice of Sufism: Emerald Hills of the Heart,5246433124,297.4,978-1-932099-23-2,297.4 Gul S,Inggris,M. Fethullah Gulen,,,,,Amerika,New Jersey,Somerset,Tughra Books,2009,Sufism,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
2102,Key Concepts In The Practice of Sufism Emerald HIlls Of The Heart,5469424122,297.2,9.78E+12,297.2 GÜL K,Inggris,M. FETHULLAH GÜLEN,,,,,Amerika,New Jersey,Somerset,Tughra Books,2000,,,,,0,Panduan (How To)
2103,K.H. Ahmad Dahlan ,6505321124,922,978-623-7219-64-4,922 Nug K,Indonesia,Adi Nugraha ,,Aziz safa,,,Indonesia,DI Yogyakarta,Yogyakarta,Garasi,2020,Religious Leaders Biography ,,Surat Permohonan Buku dan Koleksi ,26 Oktober 2022,0,Biografi
2104,Khasiat Dahsyat Kemangi,8916333124,581.46,602-7819-32-4,581.45 Kur K,Indonesia,Kurniasih,,Ari,,,Indonesia,DI Yogyakarta,Bantul,Pustaka Baru Press,,Leaves Plants,Surat Permohonan Buku & Koleksi,,10-Nov-22,0,Buku Baca
2105,"K.H Hasyim Asy'ari ""Biografi Singkat 1871-1947""",3717321122,922.97,978-623-7219-61-3,922.97 Rif K,Indonesia,Muhammad Rifai,,,,,Indonesia,DI Yogyakarta,Yogyakarta,Garasi,2020,Islam Religions Leaders Biography,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Biografi
2106,KHR. As'ad Syamsul Arifin: Riwayat Hidup dan Perjuangannya,6178321124,297.092,-,297.092 Bas K,Indonesia,"Drs. KHM. Hasan Basri, Lc.",,Drs. Choirul Anam,,,Indonesia,Jawa Timur,Situbondo,Pondok Pesantren Salafiyah Syafi'yah,1994,Muslim Person,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Biografi
2107,"Kiai Ma'ruf Amin: Menyelami Jejak Pemikiran Sang Politisi, Pemikir, dan Ulama Besar",4412321123,922.97,978-602-5907-42-5,922.97 Ulu K,Indonesia,A.R. Shohibul Ulum,,Sony Adams,,,Indonesia,DI Yogyakarta,Yogyakarta,Biography,2018,Islam Religious Leaders Biography,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Biografi
2108,Kiat Jitu Menjadi Best Seller Dukungan GoSend untuk Pertumbuhan UMKM di Era Digital ,5091312124,658.81,978-623-00-3295-0,658.81 Kia,Indonesia,GoSend Indonesia,,,,,Indonesia,DKI Jakarta,Jakarta,Elex Media Komputindo,2022,Sales Management,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
2109,Kiat Sukses Mudah & Praktis Mencapai N3 Edisi Terbaru Metode Gakushudo,1929512122,495.6,978-602-6291-03-5,495.6 Shi K,Jepang,Tjhin Thian Shiang,,,,,Indonesia,DKI Jakarta,Jakarta,Gakushudo Program Pendidikan Bahasa Jepang,2018,Japanese,Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Belajar
2110,"Kiat Sukses Panen Cabai Sepanjang Musim ""Penghujan dan Kemarau""",2595324122,635,978-979-006-629-8,635 Syu K,Indonesia,"Prof. Dr. Muhamad Syukur, SP., M.Si.",,Tintondp,,,Indonesia,DKI Jakarta,Jakarta Selatan,Agromedia Pustaka,2018,Vegetables,Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Panduan (How To)
2111,KI HAJAR DEWANTARA Bapak Pendidikan Indonesia,3135323122,741.5,978-623-6358-81-8,741.5 Fir K,Indonesia,Frida Firdiani,,,,,Indonesia,DKI Jakarta,Jakarta Timur,Bee Media Pustaka,2022,Comics Drawings,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Cerita Bergambar
2112,Kimia 1,8322312125,540,978-602-50221-2-8,540 Kim,Indonesia,Taslim Ersam,,Herdayanto S. Putro,,2,Indonesia,Jawa Timur,Surabaya,Media Bersaudara,2019,Chemistry & Allied Science,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
2113,Kimia Dasar Konsep - Konsep dan Inti Jilid 1,2016312122,540,979-781-039-9,540 Cha K,Indonesia,Raymond Chang,"Departemen Kimia, ITB","Lemeda Simarmata, S.T.",1,3,Indonesia,DKI Jakarta,Jakarta Pusat,ERLANGGA,2003,Chemistry,Surat Permohonan Buku dan Koleksi,,26-Sep-22,0,Buku Belajar
